Station Name,Date,Evapo_Transpiration,Rain,Pan_Evaporation,Max_Temp,Min_Temp,Max_Humidity,Min_Humity,Ave_Wind_Speed,Solar_Radiation
LAVERTON RAAF,2009-01-01,6.0,0.2,,21.6,13.0,81,35,8.16,24.39
LAVERTON RAAF,2009-01-02,5.1,0.0,,17.3,8.0,76,44,6.54,31.59
LAVERTON RAAF,2009-01-03,4.7,0.0,,19.2,6.5,83,42,3.34,29.22
LAVERTON RAAF,2009-01-04,6.0,0.0,,24.7,7.2,91,44,3.81,34.62
LAVERTON RAAF,2009-01-05,6.2,0.0,,25.6,9.4,88,44,3.55,34.34
LAVERTON RAAF,2009-01-06,7.3,0.0,,29.8,12.4,87,38,4.13,33.98
LAVERTON RAAF,2009-01-07,4.1,0.0,,20.9,16.5,93,56,4.31,21.28
LAVERTON RAAF,2009-01-08,5.0,0.0,,18.9,9.8,83,46,6.72,28.70
LAVERTON RAAF,2009-01-09,5.7,0.0,,19.3,13.0,74,47,4.75,33.99
LAVERTON RAAF,2009-01-10,5.3,0.0,,21.7,11.5,87,57,4.14,32.99
LAVERTON RAAF,2009-01-11,4.6,0.0,,21.5,10.1,89,57,3.75,27.72
LAVERTON RAAF,2009-01-12,5.1,0.0,,23.0,9.9,88,53,3.48,30.15
LAVERTON RAAF,2009-01-13,10.9,0.0,,38.4,10.3,89,10,4.60,34.68
LAVERTON RAAF,2009-01-14,9.2,0.0,,29.8,21.0,84,17,6.61,33.60
LAVERTON RAAF,2009-01-15,5.9,0.0,,22.4,14.7,79,45,5.81,29.86
LAVERTON RAAF,2009-01-16,7.0,0.0,,21.9,13.9,66,31,8.15,29.46
LAVERTON RAAF,2009-01-17,5.7,0.0,,19.3,13.5,74,46,5.28,33.25
LAVERTON RAAF,2009-01-18,5.8,0.0,,23.0,7.2,90,41,3.51,34.34
LAVERTON RAAF,2009-01-19,8.9,0.0,,34.8,8.7,80,11,3.48,34.06
LAVERTON RAAF,2009-01-20,11.8,0.0,,40.1,15.1,77,8,5.40,32.74
LAVERTON RAAF,2009-01-21,6.4,0.0,,27.5,13.3,89,42,3.46,32.83
LAVERTON RAAF,2009-01-22,11.9,0.0,,35.6,14.8,83,12,9.93,23.68
LAVERTON RAAF,2009-01-23,7.5,0.0,,27.9,11.0,70,23,3.93,33.79
LAVERTON RAAF,2009-01-24,7.1,0.0,,24.3,15.5,77,28,6.63,29.38
LAVERTON RAAF,2009-01-25,6.7,0.0,,25.6,8.3,86,26,4.08,33.22
LAVERTON RAAF,2009-01-26,5.5,0.0,,23.4,10.1,91,52,4.45,32.70
LAVERTON RAAF,2009-01-27,7.7,0.0,,32.0,14.4,90,20,3.30,33.01
LAVERTON RAAF,2009-01-28,10.4,0.0,,43.2,14.8,84,8,3.39,32.60
LAVERTON RAAF,2009-01-29,13.1,0.0,,44.8,24.6,48,11,5.94,28.68
LAVERTON RAAF,2009-01-30,11.9,0.0,,44.8,23.1,74,9,4.70,31.59
LAVERTON RAAF,2009-01-31,6.5,0.0,,28.8,18.6,85,53,4.97,30.80
LAVERTON RAAF,2009-02-01,6.1,0.0,,31.6,18.6,90,49,5.63,21.85
LAVERTON RAAF,2009-02-02,4.6,0.0,,28.0,20.4,92,57,4.73,17.80
LAVERTON RAAF,2009-02-03,5.8,0.0,,28.0,19.3,91,50,5.78,24.64
LAVERTON RAAF,2009-02-04,6.3,0.0,,29.2,18.1,87,45,3.61,29.75
LAVERTON RAAF,2009-02-05,6.6,0.0,,29.5,15.4,93,47,4.80,30.95
LAVERTON RAAF,2009-02-06,7.1,0.0,,35.1,17.8,84,43,3.74,28.32
LAVERTON RAAF,2009-02-07,16.5,0.0,,47.5,18.7,84,7,8.69,24.90
LAVERTON RAAF,2009-02-08,3.7,0.4,,21.3,16.5,88,53,5.05,14.55
LAVERTON RAAF,2009-02-09,6.1,1.0,,20.4,14.9,68,35,6.75,28.18
LAVERTON RAAF,2009-02-10,5.4,0.4,,19.8,13.4,77,35,7.28,22.90
LAVERTON RAAF,2009-02-11,4.9,0.0,,18.7,13.8,65,46,7.83,18.16
LAVERTON RAAF,2009-02-12,6.0,0.0,,22.0,15.0,69,45,7.43,27.66
LAVERTON RAAF,2009-02-13,6.3,0.0,,25.7,8.2,82,32,5.22,28.98
LAVERTON RAAF,2009-02-14,6.1,0.0,,26.9,9.6,86,30,3.87,28.57
LAVERTON RAAF,2009-02-15,6.5,0.0,,26.6,16.7,82,41,6.37,27.82
LAVERTON RAAF,2009-02-16,6.3,0.0,,28.4,12.7,91,33,4.08,28.64
LAVERTON RAAF,2009-02-17,,0.0,,29.0,12.7,90,27,4.07,
LAVERTON RAAF,2009-02-18,,0.0,,27.1,13.1,92,42,3.53,
LAVERTON RAAF,2009-02-19,6.0,0.0,,27.8,13.3,96,29,3.48,28.15
LAVERTON RAAF,2009-02-20,5.4,0.0,,24.4,17.4,75,46,6.06,21.42
LAVERTON RAAF,2009-02-21,4.3,0.0,,21.9,15.6,85,58,6.50,20.51
LAVERTON RAAF,2009-02-22,5.0,0.0,,24.4,17.0,89,53,4.44,26.00
LAVERTON RAAF,2009-02-23,9.4,0.0,,35.4,13.2,92,13,6.10,25.46
LAVERTON RAAF,2009-02-24,5.3,0.0,,19.8,9.8,70,35,6.01,26.48
LAVERTON RAAF,2009-02-25,3.7,0.0,,21.0,13.5,90,55,4.64,17.92
LAVERTON RAAF,2009-02-26,6.2,0.0,,28.5,13.7,85,31,4.01,27.52
LAVERTON RAAF,2009-02-27,9.0,0.0,,37.1,13.8,88,14,5.21,23.34
LAVERTON RAAF,2009-02-28,5.1,0.0,,23.1,14.1,80,44,6.11,22.61
LAVERTON RAAF,2009-03-01,3.4,0.0,,19.9,13.0,95,52,5.34,15.99
LAVERTON RAAF,2009-03-02,5.2,0.2,,24.8,14.3,74,43,3.67,25.64
LAVERTON RAAF,2009-03-03,7.8,0.6,,33.7,16.2,92,28,8.88,10.85
LAVERTON RAAF,2009-03-04,4.8,1.6,,20.0,11.4,80,40,9.53,14.26
LAVERTON RAAF,2009-03-05,2.9,0.6,,17.4,11.9,92,65,7.07,15.54
LAVERTON RAAF,2009-03-06,3.5,2.4,,19.7,11.4,96,51,4.44,19.18
LAVERTON RAAF,2009-03-07,3.8,0.2,,20.0,12.0,79,53,4.30,19.67
LAVERTON RAAF,2009-03-08,3.7,0.0,,19.6,13.6,81,51,4.76,17.52
LAVERTON RAAF,2009-03-09,4.3,0.0,,23.5,8.6,92,46,3.37,24.53
